"Tablet"	"Count"	"State"	"CTH"	"Title"	"Note: D done G good B bad F fragmentary T +TI"
"Bo 3727"	1	"B"	719		
"Bo 4183"	1	"G"	500		
"Bo 6392"	1	"G"	500		
"Bo 6679"	1	"G"	635		
"DAAM 1.1"	2	"G"	670		
"FHL 165"	1	"G"	500		
"KBo 10.39"	1	"T"	591		
"KBo 11.2"	1	"B"	703		
"KBo 14.108"	1	"B"	500		
"KBo 24.116"	2	"TF"	591		
"KBo 24.43"	1	"D"	701	"Trankopfer für den Thron der Ḫebat"	
"KBo 35.148"	1	"D"	706	"Fragmente von Festritualen für Teššup und Ḫebat"	
"KBo 39.159"	4	"D"	704	"Listen hurritischer Gottheiten in Festritualen"	
"KBo 47.133"	4	"G"	664		
"KBo 52.205"	1	"F"	712		
"KBo 53.197"	1	"G"	670		
"KBo 57.209"	3	"F"	712		
"KBo 59.119"	1	"G"	670		
"KBo 60.116"	1	"BF"	655		
"KBo 8.110"	2	"G"	664		
"KBo 8.120"	2	"G"	712		
"KUB 2.13?"	1	"F"	591		
"KUB 20.66"	1	"B"	635		
"KUB 27.1"	11	"G"	712		
"KUB 27.3"	2	"BF"	712		
"KUB 27.49"	5	"G"	692		
"KUB 27.8"	1	"G"	704		
"KUB 30.76"	1	"G"	714		
"KUB 36.89"	1	"G"	671		
"KUB 44.15"	2	"G"	719		
"KUB 55.19"	1	"G"	500		
